session_id,subject_id,actual_subject,is_genuine,total_checks,total_rows,alert_count,lock_count,reauth_count,final_action,final_risk,attempt_type
71dc57ac,s019,s040,False,5,50,0,0,0,SESSION_ENDED,0.0,impostor
c3cd35a4,s025,s016,False,5,50,0,0,0,SESSION_ENDED,0.0,impostor
17b89ee9,s015,s027,False,5,50,0,0,0,SESSION_ENDED,0.0,impostor
cd02a599,s033,s028,False,5,50,0,0,0,SESSION_ENDED,0.0,impostor
6a9db488,s057,s041,False,5,50,0,0,0,SESSION_ENDED,0.0,impostor
94a6923d,s049,s030,False,5,50,0,0,0,SESSION_ENDED,0.0,impostor
164f1435,s008,s016,False,5,50,0,0,0,SESSION_ENDED,0.0,impostor
55969063,s034,s044,False,5,50,0,0,0,SESSION_ENDED,0.0,impostor
59364762,s026,s034,False,5,50,0,0,0,SESSION_ENDED,0.0,impostor
aff9f811,s040,s044,False,5,50,0,0,0,SESSION_ENDED,0.0,impostor
f9181162,s038,s020,False,5,50,0,0,0,SESSION_ENDED,0.0,impostor
17ee7410,s028,s036,False,5,50,0,0,0,SESSION_ENDED,0.0,impostor
03cd8963,s054,s053,False,5,50,0,0,0,SESSION_ENDED,0.0,impostor
59951ef8,s022,s034,False,5,50,0,0,0,SESSION_ENDED,0.0,impostor
972a0b44,s028,s055,False,5,50,0,0,0,SESSION_ENDED,0.0,impostor
f6438610,s015,s010,False,5,50,0,0,0,SESSION_ENDED,0.0,impostor
6f305972,s050,s043,False,5,50,0,0,0,SESSION_ENDED,0.0,impostor
91d2833c,s019,s042,False,5,50,0,0,0,SESSION_ENDED,0.0,impostor
1ffeca40,s012,s054,False,5,50,0,0,0,SESSION_ENDED,0.0,impostor
ca066ffd,s015,s005,False,5,50,0,0,0,SESSION_ENDED,0.0,impostor
0af44b8e,s027,s034,False,5,50,0,0,0,SESSION_ENDED,0.0,impostor
9185ce2c,s053,s046,False,5,50,0,0,0,SESSION_ENDED,0.0,impostor
6ad2cb18,s017,s025,False,5,50,0,0,0,SESSION_ENDED,0.0,impostor
85c9556a,s044,s042,False,5,50,0,0,0,SESSION_ENDED,0.0,impostor
a7479b01,s037,s028,False,5,50,0,0,0,SESSION_ENDED,0.0,impostor
433285c3,s029,s034,False,5,50,0,0,0,SESSION_ENDED,0.0,impostor
49b7329d,s040,s016,False,5,50,0,0,0,SESSION_ENDED,0.0,impostor
ab12812d,s035,s007,False,5,50,0,0,0,SESSION_ENDED,0.0,impostor
5a8f5926,s005,s013,False,5,50,0,0,0,SESSION_ENDED,0.0,impostor
dcaa6e5f,s004,s046,False,5,50,0,0,0,SESSION_ENDED,0.0,impostor
0e0a6a8b,s013,s027,False,5,50,0,0,0,SESSION_ENDED,0.0,impostor
fe1ae121,s051,s056,False,5,50,0,0,0,SESSION_ENDED,0.0,impostor
fd30bb42,s032,s026,False,5,50,0,0,0,SESSION_ENDED,0.0,impostor
60985199,s025,s007,False,5,50,0,0,0,SESSION_ENDED,0.0,impostor
41538776,s051,s042,False,5,50,0,0,0,SESSION_ENDED,0.0,impostor
